IPK,Pendapatan_Orang_Tua,Prestasi_Akademik,Prestasi_Non_Akademik,Keikutsertaan_Organisasi,Diterima_Beasiswa
3.18,7.13,4.0,4,2,1.0
3.09,9.35,2.0,3,3,1.0
2.03,5.33,0.0,4,3,1.0
2.92,8.12,4.0,4,5,1.0
2.91,6.92,3.0,3,4,1.0
3.85,9.8,2.0,4,0,1.0
3.52,1.0,5.0,3,5,1.0
2.97,14.63,1.0,1,2,1.0
3.38,10.94,1.0,3,4,1.0
2.71,9.41,0.0,0,3,1.0
3.12,10.6,5.0,4,5,1.0
3.09,11.59,2.0,2,4,1.0
3.1,3.55,5.0,4,2,1.0
3.78,10.6,3.0,4,5,1.0
3.67,14.59,4.0,1,4,1.0
3.29,9.7,5.0,0,1,
3.59,3.31,2.0,4,4,1.0
3.03,9.76,1.0,1,5,1.0
3.07,3.41,0.0,2,5,1.0
3.23,13.36,2.0,0,2,1.0
3.2,4.71,4.0,5,3,1.0
2.7,1.0,3.0,2,3,1.0
3.81,5.6,3.0,0,1,1.0
3.17,3.06,1.0,4,1,1.0
3.15,11.24,2.0,5,3,1.0
3.75,13.78,0.0,0,0,1.0
3.3,8.91,3.0,3,0,1.0
3.55,6.92,1.0,1,3,1.0
2.51,9.06,5.0,2,3,1.0
3.47,8.11,2.0,0,2,1.0
3.32,12.56,0.0,1,4,1.0
2.93,9.34,2.0,4,4,1.0
3.78,6.05,3.0,4,3,1.0
3.86,6.15,2.0,5,5,1.0
2.77,5.74,2.0,1,1,1.0
2.76,13.09,2.0,0,0,1.0
3.58,8.59,0.0,0,3,1.0
2.99,10.11,4.0,2,5,1.0
3.09,12.85,1.0,5,5,1.0
3.33,10.7,1.0,3,1,1.0
3.0,5.6,4.0,4,2,1.0
3.13,3.67,1.0,4,5,1.0
3.27,7.88,0.0,2,5,1.0
3.24,5.79,3.0,5,5,1.0
3.38,5.86,4.0,4,0,1.0
3.35,5.35,0.0,1,0,1.0
3.3,11.87,0.0,5,1,1.0
2.98,12.64,3.0,3,5,1.0
3.26,7.04,3.0,5,5,1.0
3.9,4.53,2.0,5,1,1.0
3.15,11.67,1.0,5,3,1.0
2.88,15.25,5.0,2,4,1.0
3.23,9.48,5.0,2,2,1.0
3.22,1.0,4.0,2,0,1.0
3.27,6.65,5.0,5,3,1.0
3.39,7.32,1.0,2,4,1.0
3.02,8.56,0.0,3,1,1.0
3.42,10.33,4.0,4,2,1.0
3.14,5.75,5.0,4,0,1.0
4.0,6.25,3.0,4,5,1.0
3.32,1.06,4.0,1,1,1.0
3.25,1.48,4.0,4,5,1.0
3.41,12.99,4.0,4,3,1.0
3.19,11.99,2.0,2,4,1.0
3.48,9.19,3.0,1,4,1.0
3.65,7.76,5.0,3,0,1.0
2.54,3.55,5.0,5,3,1.0
3.15,8.74,2.0,2,2,1.0
3.43,7.35,0.0,3,3,1.0
3.42,6.58,0.0,0,5,1.0
3.57,8.3,0.0,5,1,1.0
3.04,16.06,0.0,2,3,1.0
3.29,10.5,5.0,4,3,1.0
3.5,15.18,1.0,3,0,1.0
2.11,14.43,4.0,5,0,1.0
3.19,11.27,1.0,4,0,1.0
3.03,7.93,0.0,4,5,1.0
2.57,5.14,2.0,1,5,1.0
3.56,3.75,1.0,3,2,1.0
3.21,7.68,5.0,3,1,1.0
2.95,15.94,0.0,1,1,1.0
3.04,5.19,3.0,3,2,1.0
3.04,2.05,1.0,5,0,1.0
3.11,3.95,4.0,4,4,1.0
3.57,10.52,3.0,4,5,1.0
4.0,1.0,4.0,5,4,1.0
3.61,7.19,2.0,2,0,1.0
3.56,7.29,3.0,0,1,1.0
2.62,14.62,4.0,4,2,1.0
2.56,8.09,1.0,0,3,1.0
3.1,9.91,5.0,2,2,1.0
2.78,1.0,4.0,3,2,1.0
3.04,12.03,4.0,1,0,1.0
3.35,8.53,5.0,1,2,1.0
3.48,7.45,0.0,5,2,1.0
3.53,1.0,0.0,3,1,1.0
3.58,11.06,5.0,1,2,1.0
3.24,5.7,5.0,2,0,1.0
2.99,12.65,1.0,4,0,1.0
4.0,3.36,0.0,3,1,1.0
2.45,8.15,0.0,0,5,1.0
3.3,3.4,4.0,2,1,1.0
2.21,7.25,2.0,1,4,1.0
3.42,9.36,1.0,3,3,1.0
3.14,7.76,3.0,5,3,1.0
3.17,2.15,3.0,2,1,1.0
3.49,7.41,0.0,3,0,1.0
2.62,6.66,3.0,5,4,1.0
3.63,7.17,5.0,4,3,1.0
3.06,12.13,5.0,5,4,1.0
3.05,7.7,2.0,5,3,1.0
2.54,6.98,4.0,5,0,1.0
2.94,3.73,2.0,1,0,1.0
2.61,1.0,0.0,2,1,1.0
4.0,4.8,1.0,2,2,1.0
3.56,7.65,2.0,2,0,1.0
3.87,2.15,1.0,1,1,1.0
2.53,11.32,5.0,0,5,1.0
2.45,11.29,0.0,0,5,1.0
3.0,5.77,5.0,1,5,1.0
2.83,1.0,3.0,5,0,1.0
2.94,8.46,1.0,2,4,1.0
2.99,5.63,0.0,3,0,1.0
2.62,12.76,1.0,4,4,1.0
3.5,1.0,3.0,1,5,1.0
3.44,9.33,0.0,4,4,1.0
3.28,9.36,1.0,3,2,1.0
3.04,4.15,3.0,1,1,1.0
4.0,6.34,3.0,0,1,1.0
3.31,13.19,1.0,3,2,1.0
3.18,1.0,2.0,2,5,1.0
2.89,1.0,5.0,5,1,1.0
2.29,1.0,3.0,1,1,1.0
3.17,16.35,2.0,2,0,1.0
3.02,11.54,1.0,4,5,1.0
3.01,9.67,0.0,0,5,1.0
3.13,1.63,0.0,3,1,1.0
3.89,8.4,3.0,3,3,1.0
3.73,8.43,2.0,5,0,1.0
3.17,5.91,0.0,0,0,1.0
3.09,14.85,0.0,4,5,1.0
3.55,6.64,5.0,3,4,1.0
3.39,3.75,1.0,4,4,1.0
2.9,12.39,3.0,3,0,1.0
3.77,3.01,4.0,4,3,1.0
2.65,6.45,2.0,4,2,1.0
3.83,7.56,0.0,0,0,1.0
3.92,8.36,2.0,4,3,1.0
3.12,4.27,3.0,3,5,1.0
3.1,6.09,4.0,4,1,1.0
3.17,12.87,1.0,3,4,1.0
2.81,15.98,3.0,0,0,1.0
3.46,10.6,1.0,2,1,1.0
3.04,1.14,4.0,3,2,1.0
3.0,8.09,2.0,4,1,1.0
3.62,15.09,1.0,1,0,1.0
3.77,9.24,0.0,1,1,1.0
3.41,5.72,0.0,1,2,1.0
3.02,13.8,2.0,2,5,1.0
3.14,3.17,5.0,3,5,1.0
2.7,6.72,3.0,1,4,1.0
3.07,11.16,1.0,5,4,1.0
3.56,5.02,4.0,5,3,1.0
3.64,2.73,1.0,1,0,1.0
3.6,9.99,4.0,5,4,1.0
3.04,1.0,1.0,3,3,1.0
3.07,6.24,4.0,1,5,1.0
2.93,9.26,4.0,3,5,1.0
3.06,4.14,3.0,0,1,1.0
4.0,7.93,0.0,2,1,1.0
3.11,10.58,1.0,1,3,1.0
2.39,11.69,0.0,0,0,1.0
3.42,12.39,1.0,1,3,1.0
2.96,9.53,2.0,4,2,1.0
2.88,10.88,3.0,2,3,1.0
3.14,7.35,5.0,1,0,1.0
3.07,3.66,2.0,2,5,1.0
3.79,5.77,2.0,2,5,1.0
2.71,3.12,3.0,3,0,1.0
3.42,5.9,2.0,5,5,1.0
3.12,7.54,5.0,2,1,1.0
3.73,6.52,2.0,0,0,1.0
2.96,14.03,0.0,2,4,1.0
3.52,11.88,1.0,3,1,1.0
2.78,9.22,3.0,4,4,1.0
3.53,4.21,2.0,1,4,1.0
3.63,4.48,0.0,2,3,1.0
2.99,4.73,5.0,5,5,1.0
3.24,9.25,5.0,4,0,1.0
2.72,7.98,2.0,0,1,1.0
3.26,5.03,2.0,5,5,1.0
4.0,8.04,3.0,1,2,1.0
3.75,6.59,2.0,4,1,1.0
3.97,11.01,2.0,1,4,1.0
2.53,9.61,4.0,0,5,1.0
3.24,6.87,0.0,0,2,1.0
2.5,4.37,2.0,1,1,1.0
3.27,1.0,1.0,4,5,1.0
2.76,12.62,5.0,4,5,1.0
3.07,11.75,0.0,4,4,1.0
3.0,7.21,1.0,3,1,1.0
3.36,7.28,4.0,5,0,1.0
2.66,6.75,0.0,2,1,1.0
2.65,5.56,0.0,0,4,1.0
3.31,8.89,0.0,5,4,1.0
2.93,9.58,2.0,2,5,1.0
2.67,6.76,4.0,1,2,1.0
3.12,5.11,0.0,1,0,1.0
2.64,2.45,4.0,5,5,1.0
3.22,8.54,3.0,5,4,1.0
3.44,6.34,4.0,3,1,1.0
2.83,3.78,1.0,1,4,1.0
2.8,15.54,2.0,2,2,1.0
3.31,7.18,3.0,3,0,1.0
3.26,8.99,4.0,5,4,1.0
2.92,6.65,0.0,1,2,1.0
3.6,5.58,0.0,3,2,1.0
3.24,11.11,2.0,0,0,1.0
3.19,6.7,0.0,0,0,1.0
3.69,1.57,2.0,5,1,1.0
3.51,7.79,0.0,3,5,1.0
2.9,7.76,0.0,2,4,1.0
3.54,1.0,4.0,4,4,1.0
3.7,14.34,5.0,1,4,1.0
2.5,7.96,0.0,5,4,1.0
3.3,8.94,3.0,5,3,1.0
3.36,12.5,0.0,5,4,1.0
2.93,11.75,4.0,0,2,1.0
3.12,3.48,3.0,1,5,1.0
3.34,13.34,3.0,0,3,1.0
2.97,4.94,2.0,2,1,1.0
3.61,16.3,2.0,2,0,1.0
3.38,4.23,1.0,1,4,1.0
2.53,7.31,1.0,1,4,1.0
3.12,2.22,0.0,2,2,1.0
2.57,1.91,0.0,1,0,1.0
4.0,7.29,2.0,5,4,1.0
2.99,7.03,3.0,2,5,1.0
3.33,6.37,2.0,2,0,1.0
3.42,1.0,5.0,4,2,1.0
3.12,11.09,5.0,0,0,1.0
3.78,1.0,2.0,5,2,1.0
2.73,8.29,1.0,3,2,1.0
3.97,9.26,4.0,0,3,1.0
2.91,9.59,1.0,0,3,1.0
3.18,15.49,1.0,2,0,1.0
3.44,13.36,5.0,5,3,1.0
2.99,10.33,1.0,5,4,1.0
3.06,14.18,5.0,3,2,1.0
3.05,7.98,3.0,1,4,1.0
3.16,9.87,3.0,1,2,1.0
2.76,2.87,4.0,2,5,1.0
3.1,7.81,5.0,5,4,1.0
3.43,1.19,0.0,2,2,1.0
3.87,9.73,5.0,1,3,1.0
2.85,1.49,1.0,3,4,1.0
3.09,8.0,2.0,1,2,1.0
3.48,1.0,5.0,1,0,1.0
2.97,13.67,1.0,3,5,1.0
3.2,20.62,0.0,3,0,1.0
2.64,10.26,4.0,1,4,1.0
2.95,9.41,2.0,5,4,1.0
3.01,13.49,3.0,5,0,1.0
2.81,6.46,5.0,3,4,1.0
3.06,9.71,4.0,4,3,1.0
3.59,7.85,3.0,4,2,1.0
3.2,12.61,3.0,5,3,1.0
3.17,11.21,3.0,3,1,1.0
3.19,1.3,2.0,1,5,1.0
3.21,12.21,0.0,3,1,1.0
3.21,1.2,4.0,5,1,1.0
3.09,10.27,4.0,2,2,1.0
2.76,9.68,1.0,3,5,1.0
3.25,11.14,4.0,0,2,1.0
2.21,1.0,5.0,1,0,1.0
2.59,7.69,4.0,5,0,1.0
3.72,9.16,4.0,1,4,1.0
3.17,10.46,4.0,5,5,1.0
2.94,9.8,3.0,1,3,1.0
3.52,9.68,2.0,3,0,1.0
3.71,10.42,3.0,4,0,1.0
3.0,4.99,2.0,2,3,1.0
2.93,3.59,4.0,0,2,1.0
3.21,7.23,3.0,0,5,1.0
3.87,1.0,0.0,1,0,1.0
3.85,5.28,2.0,4,1,1.0
3.47,10.6,2.0,1,5,1.0
3.48,12.37,3.0,3,1,1.0
3.16,9.79,2.0,5,2,1.0
3.49,11.55,1.0,4,1,1.0
2.52,10.63,3.0,3,5,1.0
3.92,11.71,4.0,4,5,1.0
3.31,9.14,5.0,1,5,1.0
3.17,11.96,5.0,1,2,1.0
3.74,7.95,1.0,4,4,1.0
3.31,6.69,4.0,3,2,1.0
2.52,8.3,2.0,5,0,1.0
3.23,1.0,5.0,4,3,1.0
3.48,8.05,4.0,4,1,1.0
3.59,4.82,4.0,3,2,1.0
3.24,4.64,3.0,1,3,1.0
3.17,15.4,4.0,5,1,1.0
3.13,12.65,3.0,4,3,1.0
3.28,14.25,2.0,2,1,1.0
2.97,1.37,5.0,3,3,1.0
3.34,7.99,0.0,1,1,1.0
2.56,5.81,2.0,4,5,1.0
3.32,3.67,5.0,4,3,1.0
4.0,13.51,0.0,1,0,1.0
3.32,3.8,3.0,0,5,1.0
3.07,9.37,0.0,2,3,1.0
2.93,3.43,0.0,4,0,1.0
3.1,6.54,1.0,2,3,1.0
2.76,13.56,0.0,3,5,1.0
3.75,11.51,4.0,0,0,1.0
3.25,8.69,5.0,5,5,1.0
3.15,4.19,3.0,3,5,1.0
3.63,9.65,2.0,4,0,1.0
3.19,4.0,4.0,4,3,1.0
2.56,8.68,0.0,0,0,1.0
3.46,8.73,1.0,1,4,1.0
3.4,16.16,0.0,2,0,1.0
3.74,1.0,2.0,5,0,1.0
2.85,8.56,2.0,0,1,1.0
2.57,10.09,1.0,4,5,1.0
3.69,12.27,2.0,5,2,1.0
2.94,13.41,1.0,4,4,1.0
2.96,13.99,3.0,5,4,1.0
3.13,11.53,5.0,5,0,1.0
2.8,7.62,3.0,4,5,1.0
3.47,8.43,3.0,2,5,1.0
3.59,8.35,1.0,0,4,1.0
3.62,8.96,3.0,0,5,1.0
3.76,7.8,0.0,5,4,1.0
2.98,3.9,1.0,0,3,1.0
3.35,2.92,0.0,4,3,1.0
2.87,10.22,0.0,3,3,1.0
3.5,8.44,5.0,5,1,1.0
3.21,13.32,5.0,0,2,1.0
2.9,8.14,3.0,3,5,1.0
3.42,5.9,2.0,3,5,1.0
3.16,11.28,1.0,4,5,1.0
3.1,1.0,1.0,4,0,1.0
2.79,11.49,3.0,5,3,1.0
3.43,11.07,0.0,2,3,1.0
2.83,6.78,1.0,3,2,1.0
2.43,5.38,2.0,2,4,1.0
3.18,11.37,3.0,5,2,1.0
2.76,5.36,1.0,4,3,1.0
3.19,5.52,0.0,4,0,1.0
3.02,5.66,2.0,1,1,1.0
2.94,6.11,5.0,2,0,1.0
3.3,11.1,3.0,0,5,1.0
2.8,12.09,1.0,2,2,1.0
3.0,9.84,0.0,2,0,1.0
2.86,10.9,5.0,1,1,1.0
3.41,7.74,5.0,5,5,1.0
2.86,5.97,5.0,2,4,1.0
3.23,12.75,1.0,2,3,1.0
3.54,7.5,0.0,4,5,1.0
3.28,1.0,1.0,5,0,1.0
3.23,15.71,3.0,4,5,1.0
2.8,11.65,0.0,3,2,1.0
3.08,15.62,5.0,3,3,1.0
3.39,13.71,4.0,5,3,1.0
3.2,9.13,1.0,2,4,1.0
3.68,7.26,0.0,1,0,1.0
3.22,5.39,2.0,5,2,1.0
3.2,4.17,2.0,4,2,1.0
2.45,9.84,2.0,5,2,1.0
3.28,8.85,1.0,5,4,1.0
2.71,10.19,2.0,4,5,1.0
3.63,5.22,2.0,4,1,1.0
3.56,6.8,5.0,1,1,1.0
2.89,3.75,4.0,3,1,1.0
3.56,8.02,0.0,1,3,1.0
3.43,15.42,2.0,1,4,1.0
2.36,11.5,3.0,3,5,1.0
3.55,8.71,0.0,0,2,1.0
2.62,7.32,1.0,0,3,1.0
3.46,3.07,4.0,2,5,1.0
3.08,1.51,5.0,5,2,1.0
3.47,15.97,0.0,3,4,1.0
2.81,11.22,1.0,3,5,1.0
2.87,10.56,5.0,3,3,1.0
2.53,13.06,5.0,2,5,1.0
3.49,7.57,2.0,5,4,1.0
3.1,4.5,4.0,2,5,1.0
3.08,10.86,1.0,0,2,1.0
3.18,9.94,0.0,1,0,1.0
3.54,4.25,3.0,4,0,1.0
2.71,13.96,3.0,4,1,1.0
3.3,7.75,5.0,1,2,1.0
3.24,6.86,3.0,2,2,1.0
3.57,3.19,5.0,3,0,1.0
2.91,1.68,2.0,3,4,1.0
2.81,7.08,2.0,4,3,1.0
3.28,6.37,5.0,4,2,1.0
3.15,9.02,2.0,2,2,1.0
2.99,16.72,5.0,0,2,1.0
3.46,7.9,5.0,0,1,1.0
3.01,11.46,2.0,3,5,1.0
3.0,2.78,0.0,3,3,1.0
3.17,8.91,5.0,4,4,1.0
2.96,6.89,5.0,5,4,1.0
3.28,3.32,5.0,4,4,1.0
3.14,8.09,3.0,2,3,1.0
2.95,6.69,0.0,3,2,1.0
3.16,5.54,4.0,2,5,1.0
3.35,13.15,3.0,1,5,1.0
2.85,5.84,4.0,5,2,1.0
3.2,11.73,0.0,4,2,1.0
3.08,5.06,4.0,5,5,1.0
3.15,7.81,3.0,5,5,1.0
3.62,7.29,2.0,5,0,1.0
2.63,10.93,1.0,3,2,1.0
3.64,6.9,3.0,5,5,1.0
3.18,5.84,5.0,5,2,1.0
3.27,2.83,2.0,5,0,1.0
3.83,1.7,0.0,2,2,1.0
3.5,8.39,2.0,4,2,1.0
3.26,6.84,2.0,5,2,1.0
2.71,7.28,0.0,5,2,1.0
3.76,10.33,0.0,4,1,1.0
4.0,15.55,2.0,3,4,1.0
3.43,16.15,5.0,0,2,1.0
2.98,6.15,5.0,1,4,1.0
3.85,11.71,2.0,2,3,1.0
3.27,13.35,5.0,5,5,1.0
2.93,6.05,1.0,1,0,1.0
3.15,6.43,2.0,4,4,1.0
2.61,10.21,4.0,2,5,1.0
3.25,7.22,1.0,3,4,1.0
2.92,16.01,0.0,3,5,1.0
3.11,12.12,2.0,1,0,1.0
3.49,6.54,5.0,1,5,1.0
2.12,13.91,0.0,2,1,1.0
3.01,1.0,0.0,3,3,1.0
2.98,3.36,5.0,5,4,1.0
3.43,4.0,4.0,4,4,1.0
3.57,9.85,3.0,5,2,1.0
2.83,14.16,4.0,3,0,1.0
3.21,6.05,1.0,4,2,1.0
3.24,7.9,5.0,4,1,1.0
3.32,5.41,2.0,4,1,1.0
3.55,10.78,1.0,0,3,1.0
3.39,15.03,1.0,5,4,1.0
3.13,9.26,2.0,5,0,1.0
3.15,6.51,1.0,0,3,1.0
3.37,5.71,5.0,2,2,1.0
3.91,9.8,3.0,3,1,1.0
3.39,5.91,5.0,4,5,1.0
3.22,9.06,4.0,0,1,1.0
3.54,6.11,1.0,2,0,1.0
3.42,8.11,4.0,1,2,1.0
3.27,3.03,1.0,4,0,1.0
2.62,11.04,3.0,3,0,1.0
2.5,5.24,0.0,2,3,1.0
3.18,1.44,2.0,3,2,1.0
3.38,9.6,1.0,5,3,1.0
3.88,3.99,1.0,4,5,1.0
2.57,6.71,1.0,0,4,1.0
2.81,8.05,0.0,4,4,1.0
3.7,3.06,4.0,1,5,1.0
3.04,15.62,0.0,2,2,1.0
3.04,11.63,1.0,5,4,1.0
3.41,8.77,3.0,0,5,1.0
2.66,1.0,4.0,1,2,1.0
2.94,10.56,4.0,5,5,1.0
3.47,4.07,0.0,2,3,1.0
3.66,12.48,4.0,0,5,1.0
3.15,6.76,0.0,4,1,1.0
2.51,6.89,1.0,1,1,1.0
3.32,4.55,1.0,1,1,1.0
2.95,9.45,2.0,3,4,1.0
3.08,5.48,4.0,0,4,1.0
3.63,10.29,0.0,5,0,1.0
4.0,10.24,3.0,4,1,1.0
2.72,1.0,2.0,2,4,1.0
3.71,12.63,2.0,5,2,1.0
3.4,3.87,1.0,0,2,1.0
3.65,4.86,4.0,2,3,1.0
2.62,7.21,2.0,5,2,1.0
3.7,6.09,0.0,0,3,1.0
2.58,7.66,0.0,2,3,1.0
2.97,9.19,3.0,0,5,1.0
3.68,9.17,1.0,3,2,1.0
2.65,6.95,1.0,4,3,1.0
3.37,9.27,3.0,1,2,1.0
3.15,7.82,1.0,3,3,1.0
3.19,7.92,2.0,5,4,1.0
2.9,4.26,0.0,2,2,1.0
3.28,3.6,3.0,2,4,1.0
3.12,7.65,0.0,2,3,1.0
3.53,1.93,4.0,1,1,1.0
3.19,12.05,5.0,5,5,1.0
2.55,11.41,4.0,2,1,1.0
3.05,8.47,0.0,0,5,1.0
3.11,11.73,4.0,3,4,1.0
2.66,2.97,0.0,0,5,1.0
2.38,5.21,3.0,2,2,1.0
3.54,8.63,0.0,1,1,1.0
3.23,11.17,3.0,4,1,1.0
3.01,8.32,1.0,5,5,1.0
2.41,12.68,2.0,3,0,1.0
3.47,8.38,4.0,3,4,1.0
2.94,4.44,1.0,3,3,1.0
3.31,3.71,4.0,5,5,1.0
2.64,3.92,4.0,4,1,1.0
3.2,9.26,5.0,1,1,1.0
2.93,1.0,0.0,1,3,1.0
3.38,6.04,4.0,2,3,1.0
2.89,7.05,2.0,0,1,1.0
3.22,4.93,5.0,4,2,1.0
2.47,2.76,0.0,0,1,1.0
3.41,7.86,2.0,5,0,1.0
2.79,2.78,2.0,3,0,1.0
2.88,3.16,0.0,1,3,1.0
3.41,13.51,2.0,5,5,1.0
2.95,1.0,2.0,3,2,1.0
3.83,7.81,5.0,0,2,1.0
3.21,4.69,3.0,3,3,1.0
3.14,6.21,1.0,4,0,1.0
2.61,4.8,4.0,3,3,1.0
3.18,15.6,1.0,4,5,1.0
3.03,4.56,4.0,2,4,1.0
2.99,8.39,4.0,1,4,1.0
2.27,10.68,3.0,1,1,1.0
3.23,19.65,0.0,1,1,1.0
2.6,7.87,0.0,1,4,1.0
3.49,3.98,0.0,4,0,1.0
3.56,1.94,1.0,1,5,1.0
3.02,10.12,0.0,4,2,1.0
2.9,9.13,5.0,4,0,1.0
2.89,8.04,1.0,3,5,1.0
2.95,12.57,4.0,1,0,1.0
3.39,9.89,5.0,2,4,1.0
3.8,7.73,3.0,2,3,1.0
3.53,8.49,5.0,0,3,1.0
2.92,8.79,0.0,0,3,1.0
2.56,7.32,1.0,1,4,1.0
3.29,2.85,3.0,1,1,1.0
2.63,6.32,4.0,4,5,1.0
3.65,5.73,4.0,2,1,1.0
3.01,9.54,2.0,1,0,1.0
3.34,6.75,5.0,2,3,1.0
2.97,3.05,2.0,0,0,1.0
3.09,4.42,0.0,4,2,1.0
3.1,18.06,3.0,3,5,1.0
3.41,9.4,4.0,1,2,1.0
3.2,7.78,2.0,3,5,1.0
2.64,5.33,3.0,0,0,1.0
2.76,11.7,5.0,0,4,1.0
3.86,13.47,1.0,3,2,1.0
3.47,7.6,3.0,2,0,1.0
2.92,11.28,3.0,2,3,1.0
3.4,8.85,5.0,2,0,1.0
3.75,4.94,5.0,4,0,1.0
2.99,7.62,1.0,0,0,1.0
3.41,11.81,4.0,1,0,1.0
3.59,6.73,3.0,0,5,1.0
3.31,7.71,4.0,1,2,1.0
3.26,5.01,2.0,5,5,1.0
2.49,5.43,2.0,1,5,1.0
2.38,12.43,4.0,4,2,1.0
2.87,8.49,0.0,5,5,1.0
3.61,8.82,2.0,0,4,1.0
3.34,17.54,5.0,1,0,1.0
2.24,8.76,0.0,5,1,1.0
3.27,6.9,4.0,2,4,1.0
3.05,6.43,0.0,2,5,1.0
3.09,1.11,2.0,4,1,1.0
3.07,1.69,1.0,4,4,1.0
4.0,8.13,3.0,4,3,1.0
3.04,9.43,0.0,5,5,1.0
3.13,11.79,0.0,2,2,1.0
3.5,12.24,0.0,2,0,1.0
2.95,6.67,3.0,5,5,1.0
2.88,13.16,5.0,4,3,1.0
2.53,8.89,2.0,2,4,1.0
2.98,9.98,5.0,3,2,1.0
3.37,1.0,3.0,1,2,1.0
2.86,7.5,2.0,3,5,1.0
3.65,12.54,5.0,0,0,1.0
3.01,7.14,3.0,3,4,1.0
2.91,8.56,3.0,0,0,1.0
3.86,10.95,0.0,5,5,1.0
3.45,6.32,0.0,3,0,1.0
3.44,6.74,1.0,1,3,1.0
2.92,12.12,2.0,2,3,1.0
3.06,1.0,1.0,0,1,1.0
3.74,17.29,1.0,5,0,1.0
3.11,7.88,3.0,0,1,1.0
3.08,2.76,5.0,3,3,1.0
2.2,4.59,3.0,5,0,1.0
3.18,10.13,2.0,4,5,1.0
2.81,1.62,,5,3,1.0
2.94,1.0,5.0,4,0,1.0
3.68,9.85,0.0,2,4,1.0
3.12,15.33,0.0,1,3,1.0
3.82,9.97,4.0,2,4,1.0
2.92,12.93,5.0,1,0,1.0
3.03,9.59,2.0,2,3,1.0
2.93,9.36,2.0,4,0,1.0
3.59,15.18,0.0,0,1,1.0
3.43,9.46,5.0,2,3,1.0
2.69,7.16,4.0,4,2,1.0
2.67,1.0,3.0,1,4,1.0
3.46,6.32,2.0,5,1,1.0
2.95,11.09,4.0,1,2,1.0
3.14,7.29,4.0,5,0,1.0
2.95,9.01,3.0,1,0,1.0
2.94,8.01,1.0,3,1,1.0
4.0,14.3,1.0,0,4,1.0
3.56,16.14,5.0,4,1,1.0
3.51,5.05,4.0,0,1,1.0
3.16,9.31,3.0,5,4,1.0
3.68,5.16,5.0,4,5,1.0
3.13,9.12,3.0,4,0,1.0
3.31,6.89,5.0,1,2,1.0
2.43,10.19,2.0,2,4,1.0
3.66,7.42,0.0,1,3,1.0
3.95,13.9,2.0,0,0,1.0
3.24,9.35,3.0,0,1,1.0
2.84,10.02,4.0,4,3,1.0
2.79,11.88,1.0,4,5,1.0
3.52,7.83,4.0,5,3,1.0
3.34,9.51,3.0,5,3,1.0
2.44,10.83,2.0,2,2,1.0
3.57,5.44,0.0,4,4,1.0
